mechanism,baseline_type,projection,z_score,effect_size_d,verdict
round,magnitude_matched,LeadingDigit,-1.37,-0.434,0
round,magnitude_matched,TerminalDigit,1055061.87,333639.858,+
round,magnitude_matched,CentsEntropy,-368281.89,-116460.96,+
round,magnitude_matched,DecimalResidue,5417.06,1713.024,+
round,magnitude_matched,VocabGini,1317.65,416.678,+
round,magnitude_matched,ThresholdDensity,nan,nan,?
round,magnitude_matched,TemporalConcentration,nan,nan,?
round,magnitude_matched,cp_spectrum,4081.34,1290.634,+
round,magnitude_matched,L_profile,-1195.78,-378.138,+
round,magnitude_matched,TailMass,1148.68,363.245,+
round,magnitude_matched,CBAD_a,nan,nan,?
round,magnitude_matched,CBAD_c,nan,nan,?
round,magnitude_matched,CBAD_R2,nan,nan,?
round,cents_neutral,LeadingDigit,-1.32,-0.418,0
round,cents_neutral,TerminalDigit,1255197.79,396928.392,+
round,cents_neutral,CentsEntropy,-332459.67,-105132.978,+
round,cents_neutral,DecimalResidue,5408.09,1710.189,+
round,cents_neutral,VocabGini,1404.96,444.286,+
round,cents_neutral,ThresholdDensity,nan,nan,?
round,cents_neutral,TemporalConcentration,nan,nan,?
round,cents_neutral,cp_spectrum,3909.15,1236.182,+
round,cents_neutral,L_profile,-1686.62,-533.357,+
round,cents_neutral,TailMass,1346.16,425.692,+
round,cents_neutral,CBAD_a,nan,nan,?
round,cents_neutral,CBAD_c,nan,nan,?
round,cents_neutral,CBAD_R2,nan,nan,?
round,cents_aware,LeadingDigit,-1.15,-0.363,0
round,cents_aware,TerminalDigit,18.02,5.698,+
round,cents_aware,CentsEntropy,0.0,0.0,0
round,cents_aware,DecimalResidue,0.0,0.0,0
round,cents_aware,VocabGini,-0.07,-0.023,0
round,cents_aware,ThresholdDensity,nan,nan,?
round,cents_aware,TemporalConcentration,nan,nan,?
round,cents_aware,cp_spectrum,1.73,0.546,?
round,cents_aware,L_profile,-0.81,-0.256,0
round,cents_aware,TailMass,0.1,0.03,0
round,cents_aware,CBAD_a,nan,nan,?
round,cents_aware,CBAD_c,nan,nan,?
round,cents_aware,CBAD_R2,nan,nan,?
fiscal,magnitude_matched,LeadingDigit,-0.91,-0.289,0
fiscal,magnitude_matched,TerminalDigit,0.91,0.288,0
fiscal,magnitude_matched,CentsEntropy,0.09,0.028,0
fiscal,magnitude_matched,DecimalResidue,1.54,0.486,?
fiscal,magnitude_matched,VocabGini,1.13,0.356,0
fiscal,magnitude_matched,ThresholdDensity,nan,nan,?
fiscal,magnitude_matched,TemporalConcentration,423.77,134.009,+
fiscal,magnitude_matched,cp_spectrum,-2.0,-0.632,?
fiscal,magnitude_matched,L_profile,1.05,0.333,0
fiscal,magnitude_matched,TailMass,-0.89,-0.281,0
fiscal,magnitude_matched,CBAD_a,nan,nan,?
fiscal,magnitude_matched,CBAD_c,nan,nan,?
fiscal,magnitude_matched,CBAD_R2,nan,nan,?
fiscal,temporal_neutral,LeadingDigit,0.0,0.0,0
fiscal,temporal_neutral,TerminalDigit,0.0,0.0,0
fiscal,temporal_neutral,CentsEntropy,0.0,0.0,0
fiscal,temporal_neutral,DecimalResidue,0.0,0.0,0
fiscal,temporal_neutral,VocabGini,0.0,0.0,0
fiscal,temporal_neutral,ThresholdDensity,nan,nan,?
fiscal,temporal_neutral,TemporalConcentration,423.79,134.013,+
fiscal,temporal_neutral,cp_spectrum,0.0,0.0,0
fiscal,temporal_neutral,L_profile,0.0,0.0,0
fiscal,temporal_neutral,TailMass,0.0,0.0,0
fiscal,temporal_neutral,CBAD_a,nan,nan,?
fiscal,temporal_neutral,CBAD_c,nan,nan,?
fiscal,temporal_neutral,CBAD_R2,nan,nan,?
fiscal,temporal_aware,LeadingDigit,-0.91,-0.289,0
fiscal,temporal_aware,TerminalDigit,0.91,0.288,0
fiscal,temporal_aware,CentsEntropy,0.09,0.028,0
fiscal,temporal_aware,DecimalResidue,1.54,0.486,?
fiscal,temporal_aware,VocabGini,1.13,0.356,0
fiscal,temporal_aware,ThresholdDensity,nan,nan,?
fiscal,temporal_aware,TemporalConcentration,-0.17,-0.053,0
fiscal,temporal_aware,cp_spectrum,-2.0,-0.632,?
fiscal,temporal_aware,L_profile,1.05,0.333,0
fiscal,temporal_aware,TailMass,-0.89,-0.281,0
fiscal,temporal_aware,CBAD_a,nan,nan,?
fiscal,temporal_aware,CBAD_c,nan,nan,?
fiscal,temporal_aware,CBAD_R2,nan,nan,?
divisibility,magnitude_matched,LeadingDigit,-0.92,-0.292,0
divisibility,magnitude_matched,TerminalDigit,-0.87,-0.276,0
divisibility,magnitude_matched,CentsEntropy,-1.18,-0.373,0
divisibility,magnitude_matched,DecimalResidue,1.32,0.416,0
divisibility,magnitude_matched,VocabGini,965.24,305.234,+
divisibility,magnitude_matched,ThresholdDensity,nan,nan,?
divisibility,magnitude_matched,TemporalConcentration,nan,nan,?
divisibility,magnitude_matched,cp_spectrum,2371.73,750.006,+
divisibility,magnitude_matched,L_profile,613.57,194.027,+
divisibility,magnitude_matched,TailMass,719.75,227.604,+
divisibility,magnitude_matched,CBAD_a,nan,nan,?
divisibility,magnitude_matched,CBAD_c,nan,nan,?
divisibility,magnitude_matched,CBAD_R2,nan,nan,?
divisibility,divisibility_neutral,LeadingDigit,-0.92,-0.292,0
divisibility,divisibility_neutral,TerminalDigit,-0.87,-0.276,0
divisibility,divisibility_neutral,CentsEntropy,-1.18,-0.373,0
divisibility,divisibility_neutral,DecimalResidue,1.32,0.416,0
divisibility,divisibility_neutral,VocabGini,965.24,305.234,+
divisibility,divisibility_neutral,ThresholdDensity,nan,nan,?
divisibility,divisibility_neutral,TemporalConcentration,nan,nan,?
divisibility,divisibility_neutral,cp_spectrum,2371.73,750.006,+
divisibility,divisibility_neutral,L_profile,613.57,194.027,+
divisibility,divisibility_neutral,TailMass,719.75,227.604,+
divisibility,divisibility_neutral,CBAD_a,nan,nan,?
divisibility,divisibility_neutral,CBAD_c,nan,nan,?
divisibility,divisibility_neutral,CBAD_R2,nan,nan,?
divisibility,divisibility_aware,LeadingDigit,-0.9,-0.284,0
divisibility,divisibility_aware,TerminalDigit,-0.38,-0.121,0
divisibility,divisibility_aware,CentsEntropy,-0.98,-0.31,0
divisibility,divisibility_aware,DecimalResidue,1.29,0.407,0
divisibility,divisibility_aware,VocabGini,1.53,0.484,?
divisibility,divisibility_aware,ThresholdDensity,nan,nan,?
divisibility,divisibility_aware,TemporalConcentration,nan,nan,?
divisibility,divisibility_aware,cp_spectrum,2.18,0.69,?
divisibility,divisibility_aware,L_profile,-1.97,-0.624,?
divisibility,divisibility_aware,TailMass,1.97,0.623,?
divisibility,divisibility_aware,CBAD_a,nan,nan,?
divisibility,divisibility_aware,CBAD_c,nan,nan,?
divisibility,divisibility_aware,CBAD_R2,nan,nan,?
