mechanism,projection,N,detection_rate,material_rate,mean_z,mean_d
round,TerminalDigit,100,1.0,1.0,192.5558,272.315
round,CentsEntropy,100,1.0,1.0,-74.728,-105.6813
round,DecimalResidue,100,1.0,1.0,23.3462,33.0165
round,cp_spectrum,100,1.0,1.0,39.6385,37.9391
round,TerminalDigit,500,1.0,1.0,1616.817,2286.5246
round,CentsEntropy,500,1.0,1.0,-325.4141,-460.205
round,DecimalResidue,500,1.0,1.0,71.7953,101.5338
round,cp_spectrum,500,1.0,1.0,125.9488,90.1836
round,TerminalDigit,1000,1.0,1.0,1639.1717,2318.1389
round,CentsEntropy,1000,1.0,1.0,-625.7763,-884.9813
round,DecimalResidue,1000,1.0,1.0,86.1277,121.8029
round,cp_spectrum,1000,1.0,1.0,141.1535,126.1063
round,TerminalDigit,5000,1.0,1.0,11607.6054,16415.6329
round,CentsEntropy,5000,1.0,1.0,-2774.0433,-3923.0896
round,DecimalResidue,5000,1.0,1.0,195.3791,276.3077
round,cp_spectrum,5000,1.0,1.0,360.1167,246.4303
round,TerminalDigit,10000,1.0,1.0,20412.8279,28868.098
round,CentsEntropy,10000,1.0,1.0,-4800.124,-6788.4004
round,DecimalResidue,10000,1.0,1.0,244.1147,345.2303
round,cp_spectrum,10000,1.0,1.0,400.8698,326.9361
round,TerminalDigit,50000,1.0,1.0,90748.454,128337.6944
round,CentsEntropy,50000,1.0,1.0,-33105.4726,-46818.2084
round,DecimalResidue,50000,1.0,1.0,685.8778,969.9777
round,cp_spectrum,50000,1.0,1.0,936.333,852.5045
round,TerminalDigit,100000,1.0,1.0,235919.0064,333639.8584
round,CentsEntropy,100000,1.0,1.0,-82350.3347,-116460.9602
round,DecimalResidue,100000,1.0,1.0,1211.2909,1713.024
round,cp_spectrum,100000,1.0,1.0,1523.5671,1224.9477
divisibility,cp_spectrum,100,1.0,1.0,32.6243,24.2869
divisibility,L_profile,100,0.85,0.85,-4.0006,-4.0399
divisibility,TailMass,100,1.0,1.0,6.5338,6.1757
divisibility,cp_spectrum,500,1.0,1.0,55.1588,58.5426
divisibility,L_profile,500,1.0,1.0,-11.7296,-14.1396
divisibility,TailMass,500,1.0,1.0,18.7033,20.6593
divisibility,cp_spectrum,1000,1.0,1.0,66.0448,72.9885
divisibility,L_profile,1000,1.0,1.0,-13.6714,-17.214
divisibility,TailMass,1000,1.0,1.0,20.871,25.6652
divisibility,cp_spectrum,5000,1.0,1.0,138.5285,126.0052
divisibility,L_profile,5000,1.0,1.0,-25.2273,-28.9261
divisibility,TailMass,5000,1.0,1.0,37.7557,41.8641
divisibility,cp_spectrum,10000,1.0,1.0,204.0609,192.7888
divisibility,L_profile,10000,1.0,1.0,-40.9454,-45.4408
divisibility,TailMass,10000,1.0,1.0,69.2643,70.615
divisibility,cp_spectrum,50000,1.0,1.0,507.4246,500.2304
divisibility,L_profile,50000,1.0,1.0,-103.7438,-105.2471
divisibility,TailMass,50000,1.0,1.0,142.8376,127.2075
divisibility,cp_spectrum,100000,1.0,1.0,738.4725,750.0062
divisibility,L_profile,100000,1.0,1.0,-182.8296,-180.1949
divisibility,TailMass,100000,1.0,1.0,292.3278,227.6042
product,cp_spectrum,100,1.0,1.0,7.4975,6.1694
product,L_profile,100,1.0,1.0,-15.0425,-18.5722
product,TailMass,100,1.0,1.0,12.2204,12.423
product,LeadingDigit,100,0.3,0.3,-2.6392,-3.0578
product,cp_spectrum,500,1.0,1.0,13.0361,12.5128
product,L_profile,500,1.0,1.0,-20.5485,-27.1856
product,TailMass,500,1.0,1.0,24.2041,26.9261
product,LeadingDigit,500,1.0,1.0,-6.7244,-7.9906
product,cp_spectrum,1000,1.0,1.0,41.8184,21.3867
product,L_profile,1000,1.0,1.0,-29.3954,-39.036
product,TailMass,1000,1.0,1.0,38.3205,39.0786
product,LeadingDigit,1000,1.0,1.0,-10.8595,-12.0425
product,cp_spectrum,5000,1.0,1.0,50.7677,42.9542
product,L_profile,5000,1.0,1.0,-76.8367,-95.959
product,TailMass,5000,1.0,1.0,98.3781,82.8884
product,LeadingDigit,5000,1.0,1.0,-27.5771,-27.6952
product,cp_spectrum,10000,1.0,1.0,110.5201,67.1228
product,L_profile,10000,1.0,1.0,-96.5565,-127.8381
product,TailMass,10000,1.0,1.0,116.853,113.784
product,LeadingDigit,10000,1.0,1.0,-45.5613,-42.7673
product,cp_spectrum,50000,1.0,1.0,181.706,135.481
product,L_profile,50000,1.0,1.0,-340.6658,-384.8529
product,TailMass,50000,1.0,1.0,304.3506,266.2769
product,LeadingDigit,50000,1.0,1.0,-95.945,-91.0209
product,cp_spectrum,100000,1.0,1.0,247.7526,221.6405
product,L_profile,100000,1.0,1.0,-382.0198,-487.7328
product,TailMass,100000,1.0,1.0,428.3457,414.163
product,LeadingDigit,100000,1.0,1.0,-130.1533,-143.2989
temporal_concat,VocabGini,100,1.0,1.0,282205922603.7621,34.9535
temporal_concat,cp_spectrum,100,0.0,0.0,0.5923,0.4966
temporal_concat,CBAD_R2,500,0.0,0.0,2.4739,3.4637
temporal_concat,CBAD_c,500,1.0,1.0,-3.4937,-4.9396
temporal_concat,VocabGini,500,1.0,1.0,709.3198,415.5424
temporal_concat,cp_spectrum,500,0.2,0.2,0.0315,0.0172
temporal_concat,CBAD_R2,1000,0.0,0.0,0.8878,1.2467
temporal_concat,CBAD_c,1000,0.0,0.0,-2.6209,-3.7064
temporal_concat,VocabGini,1000,1.0,1.0,991.9692,825.61
temporal_concat,cp_spectrum,1000,0.45,0.45,0.2626,0.107
temporal_concat,CBAD_R2,5000,0.0,0.0,-2.2014,-3.0914
temporal_concat,CBAD_c,5000,0.0,0.0,-0.0033,-0.0047
temporal_concat,VocabGini,5000,1.0,1.0,772.3765,1035.8462
temporal_concat,cp_spectrum,5000,0.8,0.8,0.4987,0.1114
temporal_concat,CBAD_R2,10000,1.0,1.0,-4.8781,-6.7545
temporal_concat,CBAD_c,10000,1.0,1.0,41.5465,39.0302
temporal_concat,VocabGini,10000,1.0,1.0,917.7394,995.9354
temporal_concat,cp_spectrum,10000,0.85,0.85,0.6359,0.096
temporal_concat,CBAD_R2,50000,1.0,1.0,-13.0214,-17.3164
temporal_concat,CBAD_c,50000,1.0,1.0,36.178,36.834
temporal_concat,VocabGini,50000,1.0,1.0,569.5557,723.979
temporal_concat,cp_spectrum,50000,0.9,0.9,0.7398,0.0803
temporal_concat,CBAD_R2,100000,1.0,1.0,-19.4449,-24.8767
temporal_concat,CBAD_c,100000,1.0,1.0,29.8806,32.881
temporal_concat,VocabGini,100000,1.0,1.0,297.2976,407.9571
temporal_concat,cp_spectrum,100000,1.0,1.0,0.7599,0.0633
